Name,Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Bryan Reynolds","PIT",692,469,89.90390792291221,111.589,9.388229598835654,45,0.09594883,212,0.45202559,0.274919614,0.27,0.446945337,0.463,0.3427446141990418,0.35,"Bryan Reynolds",19326,668804
"Max Muncy","LAD",293,166,90.2144672439759,110.036,26.646387307040662,18,0.10843373,72,0.43373494,0.23206751,0.229,0.493670886,0.448,0.3617018884625928,0.349,"Max Muncy",13301,571970
"Jerar Encarnacion","SFG",119,80,95.04536689082279,115.035,6.713616180419922,12,0.15,47,0.5875,0.24778761,0.275,0.424778761,0.501,0.301149013162661,0.348,"Jerar Encarnacion",21871,666464
"Tyler Soderstrom","OAK",213,137,91.93618841240875,112.148,9.56876389997719,20,0.1459854,67,0.48905109,0.232804232,0.24,0.428571428,0.48,0.3221122113601217,0.348,"Tyler Soderstrom",27467,691016
"Teoscar Hernández","LAD",652,403,90.6098523223192,114.1,10.254621015819826,60,0.14888337,188,0.46650124,0.271646859,0.25,0.500848896,0.486,0.359840165041847,0.346,"Teoscar Hernandez",13066,606192
"Jorge Soler","- - -",574,359,90.48770793100421,115.4,17.924508769860427,44,0.12256267,157,0.43732591,0.24137931,0.244,0.442190669,0.447,0.33977710313429554,0.346,"Jorge Soler",14221,624585
"Brandon Lowe","TBR",425,275,89.82678267045455,111.043,14.518354936079545,34,0.12363636,123,0.44727273,0.244155844,0.254,0.472727272,0.485,0.334698090739284,0.346,"Brandon Lowe",18882,664040
"Cal Raleigh","SEA",628,376,90.95033333333333,113.898,21.20915625,58,0.15425532,181,0.48138298,0.219780219,0.233,0.435897435,0.476,0.32256641812049425,0.346,"Cal Raleigh",21534,663728
"Livan Soto","- - -",16,10,85.05809326171875,98.7547,22.10160140991211,1,0.1,2,0.2,0.23076923,0.265,0.307692307,0.345,0.3178287334740162,0.346,"Livan Soto",22471,670869
"Seiya Suzuki","CHC",585,356,91.70488556338029,115.503,16.17592252238413,41,0.11516854,174,0.48876404,0.283203125,0.255,0.482421875,0.453,0.36487284691882704,0.346,"Seiya Suzuki",30116,673548
"Ian Happ","CHC",657,403,90.80583697007481,113.971,15.133652684694514,47,0.11662531,181,0.44913151,0.242530755,0.243,0.44112478,0.446,0.34104491788439634,0.345,"Ian Happ",17919,664023
"Trevor Larnach","MIN",400,268,92.0207894428839,113.19,12.439108402095037,27,0.10074627,121,0.45149254,0.259154929,0.259,0.433802816,0.458,0.33586232494889645,0.345,"Trevor Larnach",21501,663616
"Taylor Ward","LAA",663,430,90.86652280011656,109.426,17.396487789554197,56,0.13023256,181,0.42093023,0.246153846,0.251,0.425641025,0.458,0.32538151929820824,0.344,"Taylor Ward",17548,621493
"Julio Rodríguez","SEA",613,413,91.6543583535109,114.548,10.538344856613197,42,0.10169492,199,0.48184019,0.273368606,0.275,0.409171075,0.463,0.32055336402522194,0.344,"Julio Rodriguez",23697,677594
"Michael Harris II","ATL",470,349,90.49361305675288,114.683,7.50756976248204,34,0.0974212,164,0.46991404,0.263636363,0.284,0.418181818,0.461,0.3120455870242007,0.344,"Michael Harris II",25931,671739
"Ben Gamel","- - -",99,57,89.0822034563337,110.473,12.768640790666852,6,0.10526316,20,0.35087719,0.24691358,0.259,0.333333333,0.368,0.32661508784002186,0.343,"Ben Gamel",12160,592325
"Pete Alonso","NYM",695,440,89.79556698462414,116.319,14.417286935862757,57,0.12954545,202,0.45909091,0.240131578,0.242,0.458881578,0.461,0.3398528206020637,0.343,"Pete Alonso",19251,624413
"Jesús Sánchez","MIA",537,352,92.45883886998567,117.201,7.712865513392857,43,0.12215909,179,0.50852273,0.251533742,0.264,0.417177914,0.468,0.31695893931478153,0.343,"Jesus Sanchez",19913,660821
"Joshua Palacios","PIT",78,55,89.83442659198113,108.4,3.418931163441051,2,0.03636364,26,0.47272727,0.223880597,0.264,0.343283582,0.388,0.30664655795464146,0.342,"Joshua Palacios",19818,641943
"Alec Bohm","PHI",606,474,90.46484375,110.802,9.825258820295842,31,0.06540084,214,0.45147679,0.279783393,0.288,0.447653429,0.444,0.3352790382129467,0.342,"Alec Bohm",21618,664761
