Name,Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Andrew Knapp","SFG",6,4,83.82112884521484,102.272,-1.1134055852890015,0,0,2,0.5,0.166666666,0.152,0.166666666,0.161,0.14695178469022116,0.139,"Andrew Knapp",14942,595284
"Justin Foscue","TEX",44,24,86.87973022460938,107.173,26.873764038085938,1,0.04166667,4,0.16666667,0.047619047,0.102,0.071428571,0.144,0.07987314327196642,0.133,"Justin Foscue",27501,679822
"David Fletcher","ATL",9,8,80.6706314086914,93.1473,13.97298526763916,0,0,0,0,0.25,0.086,0.25,0.101,0.19593571292029488,0.13,"David Fletcher",17992,664058
"Levi Jordan","CIN",11,8,91.63262939453125,96.8158,3.7117080688476562,0,0,2,0.25,0.1,0.123,0.2,0.184,0.11404055898839777,0.122,"Levi Jordan",25138,682119
"Michael Helman","MIN",10,7,86.1351318359375,98.7933,19.811235700334823,0,0,2,0.28571429,0.3,0.116,0.5,0.15,0.3390603005886078,0.114,"Michael Helman",24605,680737
"Bryce Teodosio","LAA",12,7,78.86037772042411,98.9115,5.941834041050503,0,0,1,0.14285714,0.083333333,0.121,0.083333333,0.14,0.07347589234511058,0.114,"Bryce Teodosio",29524,669326
"Nick Maton","BAL",5,3,92.91056315104167,95.6904,32.49457295735677,0,0,1,0.33333333,0,0.085,0,0.16,0,0.104,"Nick Maton",21635,665155
"J.P. Martínez","ATL",10,6,83.71300252278645,96.4764,0.10543759663899739,0,0,1,0.16666667,0.2,0.102,0.3,0.117,0.21361568570137024,0.094,"J.P. Martinez",24451,679881
"Kameron Misner","TBR",15,5,78.01014404296875,92.416,20.020750427246092,0,0,0,0,0.066666666,0.095,0.066666666,0.112,0.05878071387608846,0.092,"Kameron Misner",26374,670224
"Grant Koch","PIT",8,1,89.11483764648438,89.1148,35.703311920166016,0,0,0,0,0,0.002,0,0.003,0.08614134043455124,0.088,"Grant Koch",22045,667428
"Aramis Garcia","PHI",7,4,97.02423095703125,107.662,-5.734706401824951,0,0,1,0.25,0,0.066,0,0.114,0,0.076,"Aramis Garcia",16925,605244
"Tyler Gentry","KCR",5,3,94.97054036458333,97.7326,41.757667541503906,0,0,1,0.33333333,0,0.083,0,0.091,0,0.076,"Tyler Gentry",27784,694355
"Vinny Capra","MIL",9,6,77.64205932617188,92.5344,16.24460220336914,0,0,0,0,0.111111111,0.05,0.222222222,0.071,0.13938290543026394,0.054,"Vinny Capra",25040,681962
"Brewer Hicklen","MIL",5,1,82.54403686523438,82.544,3.066758155822754,0,0,0,0,0,0.055,0,0.066,0,0.053,"Brewer Hicklen",20450,676551
"David Bañuelos","BAL",1,1,87.3071517944336,87.3072,56.330421447753906,0,0,0,0,0,0.02,0,0.028,0,0.022,"David Banuelos",23250,675915
"Scott McGough","ARI",1,0,,,,0,,0,,0,,0,,0,0,"Scott McGough",12056,543518
"Luis Castillo","SEA",1,0,,,,0,,0,,0,,0,,0,0,"Luis Castillo",15689,622491
"Chris Roller","MIL",1,0,,,,0,,0,,0,,0,,0,0,"Chris Roller",23557,676896
"Eric Yang","CIN",1,0,,,,0,,0,,0,,0,,0,0,"Eric Yang",27698,687066
"Pablo Reyes","- - -",64,41,87.9616044207317,108.024,13.226035513528963,2,0.04878049,13,0.31707317,0.183333333,,0.216666666,,0.20674801338464022,,"Pablo Reyes",16357,622569
