Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Harrison Bader","MIN",86.995,328.408,304.138,71.3246,47.6409,14.5348,1.34481,7.80405,39.1455,30.6208,16.836,0.199725,67.6199,4.54608,2.30159,0.586779,4.37955,14.3071,4.51762,0.234514,0.0512656,0.205902,0.24898,0.282797,0.368127,0.284202,0.650923,0.133613,6.26227,0.274963,,0.488565,31.5502,-6.86632,84.3801,0.488565,2.03,-5.380887448787689,1.2447550296783447,0.703478,458.760009765625,,,,,,,296.6,3.409195402,296.6,3.409195402,,,,,,,,,,,,,,,,,,,"Harrison Bader","18030",664056
"James McCann",,53.287,193.969,176.037,40.551,27.799,7.09838,0.262581,5.39111,19.82,21.4386,10.9648,0.0251054,50.4905,2.42472,1.36261,0.812154,3.53399,1.70883,0.779894,0.230355,0.0565288,0.260302,0.217166,0.282724,0.365537,0.283951,0.648261,0.135181,3.30372,0.28934,,-0.298976,18.5954,-4.09473,82.0132,-0.298976,0.51,-4.380999654531479,4.62165093421936,0.692308,746.239990234375,,,,,,,160.9,3.035849056,160.9,3.035849056,,,,,,,,,,,,,,,,,,,"James McCann","12859",543510
"Alec Burleson","STL",117.832,483.451,441.757,114.686,79.2839,20.3139,0.884001,14.2045,53.4636,57.6724,32.7728,1.16045,67.6451,3.42782,4.00422,1.07183,10.1734,5.04136,1.88318,0.259614,0.0677892,0.139921,0.484481,0.313068,0.406065,0.312314,0.719133,0.146451,3.57222,0.276116,,-0.656721,57.3841,0.83091,101.343,-0.656721,-0.93,0.11993217468261719,-9.540635764598846,0.689761,236.2899932861328,,,,,,,509.2,4.315254237,509.2,4.315254237,,,,,,,,,,,,,,,,,,,"Alec Burleson","27615",676475
"Christian Moore","LAA",68.254,278.971,256.135,58.6673,37.5638,10.6848,0.764896,9.65382,30.6145,31.4793,17.8917,0.501819,80.2597,2.86228,1.43623,0.645854,4.32996,3.55889,0.696998,0.229048,0.0641345,0.287699,0.222922,0.285354,0.389807,0.293611,0.675162,0.160759,4.3703,0.292343,,-0.0268197,28.9133,-3.72018,88.5504,-0.0268197,0,-3.681556234136224,1.0533024072647095,0.689006,999,,,,,,,273.8,4.026470588,273.8,4.026470588,,,,,,,,,,,,,,,,,,,"Christian Moore","sa3025168",695681
"Rhys Hoskins","MIL",128.75,534.528,464.349,100.081,56.2018,20.4262,0.415027,23.0384,59.1989,76.507,58.4869,0.490114,145.057,7.12315,3.7647,0.498357,6.9075,3.15738,1.39734,0.215531,0.109418,0.271375,0.403199,0.310444,0.41015,0.315348,0.720594,0.194619,2.70564,0.256795,,-0.891978,64.7519,2.22383,101.545,-0.891978,-0.87,0.09579187631607056,-11.245943188667297,0.686814,281.3800048828125,,,,,,,568.1,4.403875968,568.1,4.403875968,,,,,,,,,,,,,,,,,,,"Rhys Hoskins","16472",656555
"Zach McKinstry","DET",65.609,239.489,216.149,50.6552,32.0521,10.6184,2.12542,5.8593,28.0985,23.2748,18.9128,0.531579,52.4823,1.81667,1.66911,0.941679,2.88477,7.0945,1.93053,0.234354,0.0789715,0.219143,0.360365,0.299248,0.384469,0.298068,0.683716,0.150115,6.3175,0.280894,,0.224641,25.6805,-2.33449,94.6485,0.224641,0.18,-1.2418171912431717,-0.10928133130073547,0.684978,603.5599975585938,,,,,,,240,3.636363636,240,3.636363636,,,,,,,,,,,,,,,,,,,"Zach McKinstry","19392",656716
"Austin Hays","CIN",110.393,427.846,393.984,97.5387,61.0125,20.4019,1.01506,15.1092,47.9289,55.4792,24.0627,0.0899418,96.6384,6.49976,2.64468,0.655085,7.80134,3.16532,1.17355,0.24757,0.0562415,0.225872,0.248997,0.299869,0.419556,0.311804,0.719425,0.171986,3.45034,0.289347,,-0.564271,50.6082,0.559553,93.0575,-0.564271,1.39,-4.116202116012573,-3.5314983129501343,0.681633,412.0899963378906,,,,,,,452.4,4.112727272,452.4,4.112727272,,,,,,,,,,,,,,,,,,,"Austin Hays","19363",669720
"Seth Brown","ATH",91.526,349.553,318.26,71.7481,40.706,14.6852,1.02574,15.3311,40.7262,42.659,25.9733,0.855992,94.9424,2.42837,2.40005,0.491661,4.66456,4.38687,1.17438,0.225439,0.0743043,0.271611,0.273569,0.286912,0.422543,0.305637,0.709454,0.197104,4.26492,0.268159,,-0.13693,39.6122,-1.27787,102.752,-0.13693,-1.01,0.9638455361127853,-6.017735719680786,0.681493,455.4700012207031,,,,,,,364.2,3.958695652,364.2,3.958695652,,,,,,,,,,,,,,,,,,,"Seth Brown","18171",664913
"Max Kepler","PHI",110.938,447.323,400.446,95.1732,58.5958,19.7436,1.43512,15.3987,50.3306,55.6869,38.3272,0.996993,90.1432,4.81268,3.3747,0.361966,7.75746,1.24177,0.399387,0.237668,0.0856812,0.201517,0.425181,0.309452,0.4095,0.31273,0.718953,0.171833,2.97364,0.267449,,-0.708472,53.2453,0.918337,99.5656,-0.708472,-2.27,-0.940839558839798,-7.4060187339782715,0.676412,360.79998779296875,,,,,,,467.6,4.212612612,467.6,4.212612612,,,,,,,,,,,,,,,,,,,"Max Kepler","12144",596146
"Brendan Rodgers","HOU",55.993,228.072,209.813,50.9043,35.471,9.35967,0.24328,5.83034,23.8567,24.616,14.2115,0.272097,53.7103,2.32055,1.3875,0.339307,5.70273,0.236322,0.101177,0.242617,0.0623117,0.235497,0.264596,0.296121,0.372911,0.292932,0.669031,0.130293,2.11547,0.297204,,-0.401996,23.5134,-3.16603,91.39,-0.401996,0.64,-2.6488842964172363,1.5040894746780396,0.666978,531.3800048828125,,,,,,,206.1,3.680357142,206.1,3.680357142,,,,,,,,,,,,,,,,,,,"Brendan Rodgers","17907",663898
"Johan Rojas","PHI",82.574,300.377,278.336,66.0728,49.0014,11.2592,1.91201,3.90019,35.4363,20.6789,12.3511,0.0461559,61.4996,2.96615,1.61835,5.10491,4.88939,17.7588,3.43142,0.237385,0.0411187,0.204741,0.200832,0.275644,0.333613,0.26752,0.609257,0.096228,7.26849,0.289775,,1.65474,24.8242,-10.3133,69.1363,1.65474,4.59,-9.431299567222595,5.864290118217468,0.664679,570.9099731445312,,,,,,,243.3,2.931325301,243.3,2.931325301,,,,,,,,,,,,,,,,,,,"Johan Rojas","24336",679032
"Colt Keith","DET",130.384,520.495,475.456,119.812,80.2115,22.8951,4.04864,12.6564,57.6864,56.1041,37.657,1.88564,106.026,3.18643,3.74596,0.449308,9.05016,4.71495,1.39693,0.251993,0.0723485,0.203702,0.355169,0.308925,0.397036,0.306407,0.705961,0.145043,4.63453,0.297224,,-0.563312,59.3062,-1.58033,100.514,-0.563312,-0.38,-0.2570861279964447,-10.701804995536804,0.66016,252.22000122070312,,,,,,,538.4,4.141538461,538.4,4.141538461,,,,,,,,,,,,,,,,,,,"Colt Keith","27899",690993
