Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nick Mears","MIL",3.065,2.7104,0,3.60589,59,0,0,10.9423,,59,249.05,48.04,25.4894,23.6386,6.83089,26.1976,1.377,2.1077,72.2203,11.0167,3.99624,2.75675,1.042,0.289983,0.10519,0.18479300290346146,0.217627,1.25826,0.290833,0.753749,0.385609,,3.6627,0.396094,0.603791,737.4500122070312,,,,,,,329.7,5.588135593220339,308,5.220338983050848,5.85,4.97,4.41,3.99,3.63,3.3,2.98,2.65,2.25,4.62,4.34,4.15,3.99,3.85,3.71,3.57,3.42,3.21,"Nick Mears","25376",683232
"Dylan Lee","ATL",3.4282,2.6424,0,3.53439,62,0,0,12.5555,,62,257.796,54.2628,26.2204,24.348,7.76378,19.6492,1.6089,1.9216,69.0286,10.0203,2.8523,3.51305,1.127,0.267764,0.07622,0.19154448807239532,0.229708,1.19213,0.291653,0.756497,0.371369,,3.61139,0.395739,0.691764,747.1500244140625,,,,,,,344,5.548387096774194,330,5.32258064516129,5.71,4.85,4.31,3.9,3.55,3.24,2.93,2.6,2.21,4.53,4.25,4.06,3.91,3.77,3.63,3.49,3.34,3.14,"Dylan Lee","19996",669276
"Randy Vásquez","SDP",3.6928,4.321,3.5051,4.54197,24.72,9.72,0,0.6081,,67.4367,291.257,68.7416,36.5618,34.0328,9.98812,22.6471,0.6763,4.0418,52.0863,6.95136,3.02245,2.29991,1.333,0.178833,0.0777564,0.10107636451721191,0.259826,1.35518,0.29015,0.708309,0.418277,,4.73446,0.394282,0.228258,713.72998046875,,,,,,,220.39999999999995,3.2895522388059693,232,3.462686567164179,7.43456,6.24105,5.51318,4.96312,4.50308,4.08417,3.68415,3.2708,2.77858,5.55873,5.30318,5.13318,4.98763,4.84985,4.72207,4.5843,4.43652,4.23097,"Randy Vasquez","24719",681190
"Kyle Bradish","BAL",1.3005,0.9735,0.8177,3.21905,13.62,1.62,0,0.6344,,20.98,86.164,18.2691,8.2274,7.50397,2.1353,5.7413,0.2082,0.9603,23.5723,10.112,2.4629,4.10574,0.916,0.273575,0.0666322,0.20694256573915482,0.229909,1.14444,0.300137,0.750821,0.470377,,3.20075,0.392661,0.365658,676.0900268554688,,,,,,,115.00000000000001,5.476190476190477,110,5.238095238095238,7.05632,5.01659,3.92958,3.1811,2.61545,2.15265,1.74841,1.36417,0.974204,4.13386,3.9053,3.74674,3.61818,3.49818,3.38962,3.26534,3.13678,2.9625,"Kyle Bradish","24586",680694
"Jared Koenig","MIL",3.2142,2.8548,0,3.5885,62,0,1.969,11.4917,,62,260.504,56.488,26.9048,24.7208,6.98533,20.8106,1.873,2.7012,62.4012,9.05824,3.02089,2.99853,1.014,0.23954,0.0798859,0.15965436398983002,0.238354,1.24675,0.295352,0.746363,0.442584,,3.75587,0.390241,0.558994,733.6400146484375,,,,,,,333.0999999999999,5.372580645161289,325,5.241935483870968,5.82,4.96,4.42,4.01,3.66,3.34,3.03,2.7,2.3,4.59,4.33,4.15,4,3.87,3.75,3.61,3.47,3.27,"Jared Koenig","27517",657649
"DL Hall","MIL",2.51,2.4295,1.3915,3.82292,31.24,3.24,0,0.5961,,45.8227,195.917,40.6514,21.0636,19.4641,5.55473,19.4139,0.6561,2.2532,48.7604,9.57699,3.81307,2.51162,1.091,0.248883,0.0990925,0.1497904658317566,0.233294,1.31082,0.292631,0.745892,0.417248,,4.03269,0.39008,0.474558,660.25,,,,,,,199.00000000000003,4.32608695652174,191,4.1521739130434785,7.08953,5.61451,4.74727,4.11115,3.59447,3.14169,2.7228,2.30168,1.82667,4.83171,4.57004,4.39004,4.24226,4.10838,3.97449,3.8406,3.68671,3.48504,"DL Hall","22207",669084
"Slade Cecconi","CLE",2.9544,3.0484,1.2386,4.02131,42.24,3.24,0,0.6727,,56.5455,236.74,55.3764,27.0681,25.2652,8.45041,12.2428,1.2446,2.5544,52.7946,8.40299,1.94861,4.3123,1.345,0.223007,0.0517141,0.17129256576299667,0.249508,1.19584,0.292014,0.72687,0.37417,,4.02699,0.384881,0.323849,600.1500244140625,,,,,,,245.39999999999998,4.3052631578947365,246,4.315789473684211,7.03127,5.71717,4.92926,4.34169,3.85963,3.42309,3.01965,2.60241,2.12518,4.95444,4.71133,4.54513,4.40203,4.27892,4.15582,4.02961,3.88651,3.70031,"Slade Cecconi","27500",677944
"Caleb Thielbar","CHC",2.9136,2.5681,0,3.6807,56,0,0,9.6304,,56,234.801,48.2928,24.6239,22.9021,7.14311,20.5042,1.2677,1.8392,61.2901,9.85019,3.29532,2.98915,1.148,0.26103,0.0873259,0.1737041249871254,0.227306,1.22852,0.285713,0.751286,0.361905,,3.83274,0.384793,0.380926,999,,,,,,,296.50000000000006,5.2946428571428585,282,5.035714285714286,5.98,5.06,4.49,4.06,3.69,3.35,3.02,2.68,2.27,4.67,4.4,4.21,4.06,3.92,3.79,3.65,3.49,3.29,"Caleb Thielbar","10078",573204
"Daysbel Hernández","ATL",3.1203,2.5581,0,3.74848,58,0,0,11.1654,,58,248.181,49.3303,26.1089,24.1569,6.31556,26.9438,1.465,2.8295,67.7816,10.5178,4.18093,2.51567,0.98,0.273114,0.108565,0.16454845666885376,0.225863,1.31507,0.298071,0.743934,0.408896,,3.78474,0.384772,0.472164,747.780029296875,,,,,,,318,5.482758620689655,302,5.206896551724138,6.09,5.17,4.59,4.15,3.78,3.44,3.11,2.77,2.35,4.84,4.54,4.33,4.16,4.01,3.86,3.71,3.54,3.31,"Daysbel Hernandez","20271",678226
"Luke Weaver","NYY",3.5716,3.0851,0,3.73577,68,0,5.612,12.6071,,68,284.638,61.799,30.2824,28.2258,9.96578,18.5422,3.0448,2.7849,73.0424,9.66738,2.45411,3.93925,1.319,0.256615,0.0651431,0.19147194921970367,0.2347,1.18149,0.287479,0.754021,0.364336,,3.8643,0.383506,0.472357,359.2200012207031,,,,,,,381.00000000000006,5.602941176470589,372,5.470588235294118,5.86,5.04,4.52,4.12,3.78,3.47,3.16,2.84,2.44,4.65,4.41,4.24,4.1,3.98,3.86,3.73,3.59,3.41,"Luke Weaver","16918",596133
"Joe Kelly",,1.8508,1.4781,0,3.22311,34,0,0,0,,34,143.218,27.8916,13.4255,12.1762,2.81067,14.9727,0.7357,1.8362,40.4707,10.7128,3.96336,2.70297,0.744,0.282581,0.104545,0.17803627252578735,0.220646,1.26071,0.301716,0.756211,0.496,,3.34366,0.380241,0.485462,999,,,,,,,170.90000000000003,5.026470588235295,160,4.705882352941177,5.9,4.76,4.08,3.57,3.15,2.79,2.44,2.09,1.69,4.25,3.98,3.8,3.65,3.51,3.38,3.25,3.1,2.9,"Joe Kelly","9761",523260
