Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tanner Scott","LAD",2.84053,1.37619,0,3.46962,63.064,0,21,7.592,,78.83,337,64.7179,32.7,30.39,6.21684,38.4749,1.59575,4.67771,91.0122,10.3908,4.39267,2.36549,0.709775,0.270065,0.114169,0.1558966487646103,0.220243,1.30906,0.297536,0.746041,,,3.52488,0.813081,0.844932,112.58000183105469,,,,,,,531.8000000000001,6.731645569620254,507,6.417721518987341,,,,,,,,,,,,,,,,,,,"Tanner Scott","17586",656945
"Dedniel Núñez","NYM",1.65961,0.911974,0,3.50064,42.246,0,1,4.3897,,52.8075,219.147,42.0522,22.07,20.54,5.49877,18.8519,1.97164,2.50709,63.5197,10.8257,3.21294,3.36941,0.937157,0.289849,0.0860238,0.20382535457611084,0.212612,1.15332,0.283866,0.729885,,,3.32785,0.804393,0.581477,739.239990234375,,,,,,,304.50000000000006,5.745283018867926,283,5.339622641509434,,,,,,,,,,,,,,,,,,,"Dedniel Nunez","23055",673380
"Andrew Nardi","MIA",2.12255,1.7899,0,3.52981,55.339,0,3,3.9615,,69.1738,289.252,56.7345,29.31,27.13,8.30625,25.4571,1.55175,3.20092,83.9515,10.9227,3.31215,3.29776,1.0807,0.290236,0.08801,0.2022261768579483,0.217712,1.18819,0.287687,0.749426,,,3.5431,0.796631,0.719405,735.8900146484375,,,,,,,379.00000000000006,5.492753623188406,356,5.159420289855072,,,,,,,,,,,,,,,,,,,"Andrew Nardi","25942",677053
"Ryan Fernandez","STL",2.45745,1.87676,0,3.83967,58.73,0,2,15.9568,,73.4125,307.906,67.0179,33.51,31.32,7.38994,22.1648,1.98079,2.88967,71.503,8.76591,2.71729,3.22597,0.905969,0.232223,0.0719855,0.16023772209882736,0.236936,1.21482,0.292352,0.706177,,,3.55097,0.792443,0.414844,664.9500122070312,,,,,,,422.90000000000003,5.793150684931508,417,5.712328767123288,,,,,,,,,,,,,,,,,,,"Ryan Fernandez","24862",681676
"Cole Sands","MIN",2.47697,1.7649,0,3.85058,55.632,0.191,4,14.9928,,69.3012,291.774,59.0423,31.76,29.65,7.39974,24.5152,1.25832,3.91802,75.6383,9.82298,3.18373,3.08537,0.960988,0.259236,0.0840211,0.17521492391824722,0.224205,1.20571,0.286421,0.707637,,,3.60254,0.791973,0.406341,666.780029296875,,,,,,,416.1,6.030434782608696,399,5.782608695652174,,,,,,,,,,,,,,,,,,,"Cole Sands","21461",663485
"Luis Garcia","HOU",3.57346,4.72994,1.01282,4.35086,31.037,10.93,16,0.6475,,80.7772,339.268,71.6308,41.74,39.05,13.2439,26.3694,1.00158,2.99485,79.2002,8.8243,2.93801,3.00349,1.47561,0.233444,0.0777242,0.15572011470794678,0.231139,1.21322,0.268495,0.708043,,,4.42752,0.789611,0.613141,475.8500061035156,,,,,,,407.3,5.0283950617283955,391,4.827160493827161,,,,,,,,,,,,,,,,,,,"Luis Garcia","23735",677651
"DL Hall","MIL",2.94566,4.43777,-1.05298,4.01998,33.456,9.758,0,0.5961,,72.0228,310.045,61.9734,34.42,32.17,7.96195,33.7294,1.32284,3.72911,74.183,9.26994,4.21484,2.19936,0.994928,0.239265,0.108789,0.1304764822125435,0.227353,1.32878,0.283611,0.724759,,,4.10389,0.787993,0.854253,660.25,,,,,,,311.2000000000001,4.322222222222224,294,4.083333333333333,,,,,,,,,,,,,,,,,,,"DL Hall","22207",669084
"Antonio Senzatela","COL",5.03622,9.95595,5.586,5.57385,26.03,20.933,0,0.5573,,110.848,493.964,134.461,73.38,68.65,14.7085,33.8766,0.662574,4.76116,68.4708,5.5593,2.75052,2.02118,1.19421,0.138615,0.0685812,0.07003386318683624,0.295308,1.51864,0.321789,0.64271,,,4.70175,0.786645,-0.415404,999,,,,,,,311.5000000000001,2.806306306306307,383,3.4504504504504503,,,,,,,,,,,,,,,,,,,"Antonio Senzatela","15488",622608
"Tim Herrin","CLE",2.22712,1.54781,0,3.38052,57.293,0,0,13.6491,,71.6162,299.048,58.9361,28.92,26.9,5.6853,27.5112,1.48321,3.24832,72.4928,9.11016,3.45733,2.63503,0.71447,0.242412,0.0919962,0.1504160240292549,0.219674,1.20709,0.280105,0.732945,,,3.46253,0.783533,0.883085,750.6199951171875,,,,,,,412.6,5.730555555555556,389,5.402777777777778,,,,,,,,,,,,,,,,,,,"Tim Herrin","25139",682120
"Garrett Whitlock","BOS",2.126,1.46266,-0.199655,3.78807,46.469,0.905,4,15.8224,,58.6605,243.129,54.8808,26.57,24.69,6.2546,13.2668,1.08152,2.58872,55.267,8.47935,2.03547,4.1658,0.959613,0.227315,0.0545671,0.17274832725524902,0.241474,1.16173,0.293367,0.700064,,,3.47917,0.777186,0.44415,548.0900268554688,,,,,,,365.8,6.2,363,6.1525423728813555,,,,,,,,,,,,,,,,,,,"Garrett Whitlock","20191",676477
"Lucas Erceg","KCR",2.61773,1.63209,0,3.62013,60.8,0,14,9.9959,,76,326.881,62.6826,32.7,30.57,5.5445,37.3534,1.49339,5.49577,85.0468,10.0713,4.42343,2.27682,0.656585,0.260177,0.114272,0.14590465277433395,0.220689,1.31626,0.295378,0.729742,,,3.56822,0.771259,0.681649,210.1999969482422,,,,,,,478.8,6.3,456,6,,,,,,,,,,,,,,,,,,,"Lucas Erceg","19360",668674
"Bryan Hudson","MIL",2.44355,1.4718,0,3.23018,52.381,0,2,11.3546,,65.4762,270.962,50.94,25.22,23.5,5.33867,24.9079,1.42111,3.25948,70.7165,9.7203,3.42369,2.83913,0.733824,0.260983,0.0919237,0.16905926913022995,0.209807,1.1584,0.273488,0.740458,,,3.35696,0.766438,0.921524,999,,,,,,,398.9,6.136923076923076,372,5.723076923076923,,,,,,,,,,,,,,,,,,,"Bryan Hudson","19924",663542
"Clayton Kershaw","LAD",4.17757,3.25042,3.39265,4.09783,10.519,10.27,0,0,,53.9188,226.896,51.029,26.55,24.55,7.4738,16.5346,0.171388,1.74926,47.8933,7.99424,2.75991,2.89656,1.24751,0.21108,0.0728728,0.13820737600326538,0.244611,1.25306,0.284219,0.718273,,,4.20924,0.763591,0.644883,527.72998046875,,,,,,,219.9,4.072222222222222,218,4.037037037037037,,,,,,,,,,,,,,,,,,,"Clayton Kershaw","2036",477132
"Jose A. Ferrer","WSN",2.35957,1.67963,0,3.51002,58.01,0,6,11.312,,72.5125,301.921,66.1301,30.51,28.28,5.46688,20.4337,1.90862,3.29775,58.4801,7.25835,2.53616,2.86195,0.678531,0.193693,0.0676789,0.12601447105407715,0.237716,1.19378,0.283152,0.71035,,,3.51543,0.76342,0.727723,590.4000244140625,,,,,,,428.1,5.864383561643836,421,5.767123287671233,,,,,,,,,,,,,,,,,,,"Jose A. Ferrer","24017",678606
"Kyle Wright","KCR",3.95495,5.06942,1.98986,4.47231,26.48,11.909,0,0.6444,,78.3421,339.254,78.4293,41.74,38.93,9.05996,28.2062,0.82811,4.79659,64.8352,7.44832,3.24035,2.29862,1.04082,0.191111,0.0831418,0.10796937346458435,0.256095,1.36115,0.298548,0.690734,,,4.27849,0.759862,0.492812,683.8200073242188,,,,,,,298.70000000000005,3.82948717948718,308,3.948717948717949,,,,,,,,,,,,,,,,,,,"Kyle Wright","19665",657140
"Joel Payamps","MIL",2.70085,1.91009,0,3.73981,59.663,0,7,13.362,,74.5788,308.051,65.3709,33.28,30.99,9.33215,19.6892,1.78662,3.64221,73.9366,8.9225,2.37605,3.75518,1.12618,0.240014,0.0639154,0.17609867453575134,0.229597,1.14054,0.278176,0.719217,,,3.74894,0.758283,0.627337,497.9100036621094,,,,,,,438.29999999999995,5.843999999999999,421,5.613333333333333,,,,,,,,,,,,,,,,,,,"Joel Payamps","14332",606303
"Trevor Williams","WSN",4.98703,8.57509,2.91952,4.78306,37.913,17.739,0,0.6126,,112.428,485.137,114.087,64.21,59.75,17.5613,36.6433,1.20772,4.86917,89.3815,7.1551,2.93334,2.43923,1.4058,0.18424,0.0755319,0.10870793461799622,0.25717,1.34068,0.286698,0.685882,,,4.71477,0.754898,0.344681,529.780029296875,,,,,,,367.0000000000001,3.2767857142857153,382,3.4107142857142856,,,,,,,,,,,,,,,,,,,"Trevor Williams","16977",592866
"Martín Pérez","CHW",7.6415,11.8918,10.9738,5.0617,26.344,25.819,0,0,,146.103,642.691,159.356,88.22,82.17,22.1429,52.9308,0.417378,6.254,98.4602,6.06518,3.26056,1.86017,1.36401,0.1532,0.082358,0.07084176689386368,0.2731,1.45299,0.296418,0.684367,,,5.00416,0.743977,0.295597,707.1799926757812,,,,,,,415.4000000000001,2.8452054794520554,463,3.171232876712329,,,,,,,,,,,,,,,,,,,"Martin Perez","6902",527048
"Yuki Matsui","SDP",2.11973,1.3762,0,3.46998,53.077,0,2,10.9727,,66.3463,276.629,50.8774,27.41,25.58,6.94005,27.5847,1.92089,2.57353,75.6401,10.2607,3.74192,2.7421,0.941432,0.273435,0.0997173,0.1737176477909088,0.206424,1.18262,0.268089,0.742619,,,3.60984,0.743527,0.765631,734.3599853515625,,,,,,,382.70000000000005,5.798484848484849,352,5.333333333333333,,,,,,,,,,,,,,,,,,,"Yuki Matsui","33826",673513
"Matt Waldron","SDP",3.85806,4.93916,3.30022,4.65446,18.37,11.852,0,0.6081,,75.953,324.73,74.6145,42.09,39.28,11.8891,22.9951,0.699663,3.98056,63.1363,7.4813,2.72479,2.74564,1.40879,0.194427,0.0708131,0.12361429631710052,0.250591,1.28513,0.281622,0.685725,,,4.60438,0.734569,0.448603,563.219970703125,,,,,,,268.79999999999995,3.5368421052631573,273,3.5921052631578947,,,,,,,,,,,,,,,,,,,"Matt Waldron","25550",663362
"Yimi García","TOR",2.1394,1.56225,0,3.60941,53.959,0,6,14.2488,,67.4488,275.855,54.9894,28.96,27.05,9.20536,18.4908,1.73579,3.31629,75.6685,10.0968,2.46731,4.09223,1.22831,0.274305,0.0670307,0.20727413892745972,0.216452,1.08942,0.270632,0.734745,,,3.66692,0.730391,0.610543,542.9500122070312,,,,,,,417.0999999999999,6.225373134328357,393,5.865671641791045,,,,,,,,,,,,,,,,,,,"Yimi Garcia","12095",554340
"Kevin Ginkel","ARI",2.39897,1.73114,0,3.91965,59.387,0,6,13.5422,,74.2337,313.505,66.666,34.64,32.33,7.73767,25.2758,1.45957,3.55186,76.867,9.31925,3.06441,3.04112,0.938105,0.245186,0.0806234,0.16456228494644165,0.234181,1.23854,0.294534,0.706478,,,3.61559,0.72737,0.365084,610.0499877929688,,,,,,,428.00000000000006,5.783783783783784,419,5.662162162162162,,,,,,,,,,,,,,,,,,,"Kevin Ginkel","19876",656464
